item_id,movie_id,title,release_year,contract_year,runtime,mpa_rating,imdb_score,votes,reviews_users,reviews_critics,budget,income_usa,income_ww,country_1,studio,director,Genre_1,Genre_2,Genre_3,actor_1,actor_2,actor_3,contract_price,studio_score,price_class,price,total_price,total_dollar,interest
I-1036,tt1690953,Despicable Me 2,2013,2015,98,PG,7.4,351169,304,318,76000000,368065385,970766005,USA,Universal,Pierre Coffin,Animation,Adventure,Comedy,Steve Carell,Kristen Wiig,Benjamin Bratt,2295,10,1,4500.0,4117500.0,3625.0,1330.0
I-1086,tt0451279,Wonder Woman,2017,2018,141,PG-13,7.4,507173,2069,682,149000000,412563408,821847012,USA,WB,Patty Jenkins,Action,Adventure,Fantasy,Gal Gadot,Chris Pine,Connie Nielsen,2295,10,1,4500.0,3892500.0,3426.0,1131.0
I-1084,tt4630562,The Fate of the Furious,2017,2018,136,PG-13,6.7,188194,565,419,250000000,226008385,1236005118,Chi,Universal,F. Gary Gray,Action,Adventure,Crime,Vin Diesel,Jason Statham,Dwayne Johnson,2295,10,1,4500.0,3843000.0,3383.0,1088.0
I-1087,tt3469046,Despicable Me 3,2017,2018,89,PG,6.3,98947,210,259,80000000,264624300,1034799409,USA,Universal,Kyle Balda,Animation,Adventure,Comedy,Steve Carell,Kristen Wiig,Trey Parker,2295,10,1,4500.0,3838500.0,3379.0,1084.0
I-1064,tt1951266,The Hunger Games: Mockingjay - Part 2,2015,2016,137,PG-13,6.5,260907,435,422,160000000,281723902,653428261,USA,LIONSGATE,Francis Lawrence,Action,Adventure,Sci-Fi,Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,2195,6,1,1000.0,3689000.0,3247.0,1052.0
I-1002,tt0330373,Harry Potter and the Goblet of Fire,2005,2015,157,PG-13,7.7,501735,1933,311,150000000,290417905,896346229,UK,WB,Mike Newell,Adventure,Family,Fantasy,Eric Sykes,Timothy Spall,David Tennant,2700,10,10,4500.0,4032000.0,3549.0,849.0
I-1083,tt5052448,Get Out,2017,2018,104,R,7.7,429173,1427,720,4500000,176040665,255413717,USA,Universal,Jordan Peele,Horror,Mystery,Thriller,Daniel Kaluuya,Allison Williams,Catherine Keener,2550,4,10,4500.0,3838500.0,3379.0,829.0
I-1003,tt0363771,"The Chronicles of Narnia: The Lion, the Witc",2005,2015,143,PG,6.9,346171,1490,285,180000000,291710957,745013115,USA,BUENA VISTA,Andrew Adamson,Adventure,Family,Fantasy,Georgie Henley,Skandar Keynes,William Moseley,2295,10,1,5500.0,3536500.0,3113.0,818.0
I-1017,tt1055369,Transformers: Revenge of the Fallen,2009,2015,150,PG-13,6.0,369965,1481,374,200000000,402111870,836303693,USA,P/DW,Michael Bay,Action,Adventure,Sci-Fi,Shia LaBeouf,Megan Fox,Josh Duhamel,2145,4,1,5000.0,3195000.0,2812.0,667.0
I-1071,tt3498820,Captain America: Civil War,2016,2017,147,PG-13,7.8,608928,1342,658,250000000,408084349,1153296293,USA,BUENA VISTA,Anthony Russo,Action,Adventure,Sci-Fi,Chris Evans,Robert Downey Jr.,Scarlett Johansson,2700,10,10,5500.0,3674000.0,3234.0,534.0
